[0,42.15038148638778,-86.44311290234327,
[1,42.150454565642654,-86.44305355846882,
[2,42.15050775933292,-86.4430096372962,
[3,42.150556975885046,-86.44297208636999,
[4,42.1506086780804,-86.4429372176528,
[5,42.15066485445635,-86.44290704280138,
[6,42.15069319119344,-86.44287418574095,
[7,42.15072003651159,-86.44284836947918,
[8,42.15077397568128,-86.44280143082142,
[9,42.15083089761232,-86.44276287406683,
[10,42.1508229434591,-86.442681401968,
[11,42.150802312369514,-86.4426988363266,
[12,42.15077546708625,-86.4426988363266,
[13,42.150802312369514,-86.44265927374363,
[14,42.15067504574044,-86.44258081912994,
[15,42.15068001709794,-86.44277159124613,
[16,42.15066311448086,-86.44271191209555,
[17,42.15066560016012,-86.44265256822109,
[18,42.15063974909096,-86.44261803478003,
[19,42.15061141232996,-86.44263915717602,
[20,42.15057437566705,-86.44266497343779,
[21,42.15063850625082,-86.44268609583378,
[22,42.15061016948926,-86.4427762851119,
[23,42.1505858098069,-86.44279170781374,
[24,42.150562444388484,-86.44280914217234,
[25,42.1505167077998,-86.44280813634396,
[26,42.15049408806166,-86.4429459348321,
[27,42.15051049358683,-86.44292179495096,
[28,42.15049408806166,-86.4428487047553,
[29,42.150464259823174,-86.44287284463644,
[30,42.15045133424882,-86.44295800477266,
[31,42.1504307030381,-86.44297745078802,
[32,42.1504359229836,-86.44291441887617,
[33,42.15041802602576,-86.4428661391139,
[34,42.15038670633735,-86.44282791763544,
[35,42.15033997534489,-86.44288223236799,
[36,42.150391677717494,-86.44298985600471,
[37,42.15047146831544,-86.44294660538435,
[38,42.15084034316799,-86.44266162067652,
